wind(m/s),    lat,     lon
    5.30,   23.16,  282.87
    5.24,   23.16,  282.91
    5.19,   23.15,  282.95
    5.13,   23.15,  282.98
    5.07,   23.14,  283.02
    5.02,   23.14,  283.06
    4.96,   23.14,  283.10
    4.90,   23.13,  283.13
    4.84,   23.13,  283.17
    4.79,   23.12,  283.21
    4.73,   23.12,  283.25
    4.67,   23.12,  283.28
    4.62,   23.11,  283.32
    4.56,   23.11,  283.36
    4.50,   23.10,  283.40
    4.45,   23.10,  283.43
    4.39,   23.10,  283.47
    4.34,   23.09,  283.51
    4.28,   23.09,  283.55
    4.23,   23.08,  283.58
    4.17,   23.08,  283.62
    4.12,   23.08,  283.66
    4.07,   23.07,  283.70
    4.01,   23.07,  283.73
    3.96,   23.06,  283.77
    3.91,   23.06,  283.81
    3.86,   23.05,  283.85
    3.81,   23.05,  283.88
    3.76,   23.05,  283.92
    3.71,   23.04,  283.96
    3.66,   23.04,  284.00
    3.61,   23.03,  284.03
    3.56,   23.03,  284.07
    3.51,   23.02,  284.11
    3.47,   23.02,  284.15
    3.42,   23.02,  284.18
    3.37,   23.01,  284.22
    3.33,   23.01,  284.26
    3.28,   23.00,  284.29
    1.75,   23.61,  276.45
    1.78,   23.61,  276.49
    1.81,   23.61,  276.53
    1.84,   23.61,  276.56
    1.87,   23.61,  276.60
    1.91,   23.61,  276.64
    1.94,   23.61,  276.68
    2.14,   23.60,  276.72
    2.19,   23.60,  276.75
    2.24,   23.60,  276.79
    2.29,   23.60,  276.83
    2.34,   23.60,  276.87
    2.40,   23.60,  276.91
    2.45,   23.60,  276.94
    2.50,   23.60,  276.98
    2.56,   23.59,  277.02
    2.61,   23.59,  277.06
    2.67,   23.59,  277.10
    2.72,   23.59,  277.13
    2.78,   23.59,  277.17
    2.84,   23.59,  277.21
    2.90,   23.59,  277.25
    2.96,   23.58,  277.29
    3.02,   23.58,  277.32
    3.08,   23.58,  277.36
    3.14,   23.58,  277.40
    3.20,   23.58,  277.44
    3.26,   23.58,  277.48
    3.32,   23.58,  277.51
    3.39,   23.57,  277.55
    3.45,   23.57,  277.59
    3.52,   23.57,  277.63
    3.58,   23.57,  277.67
    3.65,   23.57,  277.70
    3.71,   23.57,  277.74
    3.78,   23.56,  277.78
    3.85,   23.56,  277.82
    3.91,   23.56,  277.85
    3.98,   23.56,  277.89
    4.05,   23.56,  277.93
    4.12,   23.56,  277.97
    4.19,   23.55,  278.01
    4.26,   23.55,  278.04
    4.33,   23.55,  278.08
    4.40,   23.55,  278.12
    4.47,   23.55,  278.16
    4.54,   23.55,  278.20
    4.61,   23.54,  278.23
    4.68,   23.54,  278.27
    4.75,   23.54,  278.31
    4.82,   23.54,  278.35
    4.89,   23.54,  278.39
    4.96,   23.53,  278.42
    5.03,   23.53,  278.46
    5.10,   23.53,  278.50
    5.17,   23.53,  278.54
    5.24,   23.53,  278.57
    5.30,   23.52,  278.61
    5.37,   23.52,  278.65
    5.44,   23.52,  278.69
    5.51,   23.52,  278.73
    5.57,   23.52,  278.76
    5.64,   23.51,  278.80
    5.70,   23.51,  278.84
    5.77,   23.51,  278.88
    5.83,   23.51,  278.92
    5.90,   23.51,  278.95
    5.96,   23.50,  278.99
    6.02,   23.50,  279.03
    6.09,   23.50,  279.07
    6.15,   23.50,  279.11
    6.21,   23.49,  279.14
    6.27,   23.49,  279.18
    6.33,   23.49,  279.22
    6.39,   23.49,  279.26
    6.44,   23.49,  279.29
    6.50,   23.48,  279.33
    6.55,   23.48,  279.37
    6.61,   23.48,  279.41
    6.66,   23.48,  279.45
    6.71,   23.47,  279.48
    6.76,   23.47,  279.52
    6.81,   23.47,  279.56
    6.86,   23.47,  279.60
    6.91,   23.46,  279.63
    6.96,   23.46,  279.67
    7.00,   23.46,  279.71
    7.04,   23.46,  279.75
    7.08,   23.45,  279.79
    7.13,   23.45,  279.82
    7.16,   23.45,  279.86
    7.20,   23.45,  279.90
    7.24,   23.44,  279.94
